Date,Open,High,Low,Close,Adj Close,Volume
2012-10-29,318.924988,321.25,317.774994,320.299988,302.211517,2756164
2012-10-30,318.524994,322.399994,315.299988,316.825012,298.9328,4417452
2012-10-31,317.049988,317.950012,315.024994,317.100006,299.19223,3746484
2012-11-01,316.375,317.850006,313.75,314.299988,296.550385,3529230
2012-11-02,319,319,314,315.149994,297.352386,2716386
2012-11-05,316,318,315.375,317.5,299.569702,2011064
2012-11-06,316.975006,320.600006,316.975006,319.774994,301.716248,3639042
2012-11-07,319.875,322.5,318.450012,320.024994,301.952087,4100330
2012-11-08,318.25,320.5,317.75,319.5,301.456696,1933900
2012-11-09,319.125,321.5,317.5,319.674988,301.621796,2210388
2012-11-12,318.625,326.899994,318.625,325.649994,307.25943,4828728
2012-11-15,323.5,323.700012,319.5,323.125,304.877014,4721170
2012-11-16,321.5,324.299988,320.075012,321.125,302.98999,6051412
2012-11-19,319.875,323.950012,319.725006,323.375,305.112885,2893974
2012-11-20,324.549988,327.950012,324.125,326.924988,308.462402,4676694
2012-11-21,327.575012,332.75,324.850006,331.850006,313.109253,6464892
2012-11-22,333.399994,335.575012,332,334.549988,315.656799,4220482
2012-11-23,334.75,336.299988,329.524994,334.875,315.963409,2624856
2012-11-26,336.5,336.850006,330.049988,330.950012,312.260162,2740768
2012-11-27,332.450012,341.899994,332.450012,340.25,321.034912,8251336
2012-11-29,338.75,351.875,337.700012,349.924988,330.163483,12599726
2012-11-30,350.5,352.75,344.799988,351.975006,332.097748,7819646
2012-12-03,350,350.575012,342,343.475006,324.077759,5818170
2012-12-04,342.049988,345,340.524994,342.575012,323.228638,4339744
2012-12-05,344.5,347.5,343.5,346.299988,326.743256,4609930
2012-12-06,347.899994,349.25,340.399994,347.375,327.757538,5452276
2012-12-07,347.625,349,344,346.549988,326.979126,3968316
2012-12-10,345,348.25,344.825012,346.5,326.931915,4162052
2012-12-11,347.625,349.5,343.149994,345.424988,325.917664,6750276
2012-12-12,345.625,348,344.25,346.924988,327.332977,3868252
2012-12-13,346.924988,348,344.5,345.524994,326.011993,3141616
2012-12-14,345.024994,347.200012,342.674988,344.375,324.926971,4186946
2012-12-17,343.950012,343.950012,336.799988,338.25,319.147797,6115106
2012-12-18,338.975006,341.100006,334.875,337.975006,318.888367,6687536
2012-12-19,337.274994,344.625,337.25,344,324.57312,8244506
2012-12-20,343,343.5,340.125,341.700012,322.402985,5130374
2012-12-21,340.5,341,337.024994,338,318.911957,5543122
2012-12-24,340,340.075012,335.899994,338.049988,318.959137,2741126
2012-12-26,339.049988,342.424988,336.549988,340.149994,320.940521,2861608
2012-12-27,342,342,338.350006,340.049988,320.846191,4929084
2012-12-28,340.549988,341.5,337.075012,338.825012,319.690369,3512132
2012-12-31,338.5,340,337,339.299988,320.138519,2553644
2013-01-01,341.049988,342.549988,339.825012,342.25,322.921967,2014606
2013-01-02,344.950012,345,341.524994,343.674988,324.266418,4854798
2013-01-03,345,345,340.200012,341.674988,322.379395,4571366
2013-01-04,342.5,342.5,336.399994,339.674988,320.492371,5442254
2013-01-07,341.850006,341.850006,333,334.100006,315.232208,5502284
2013-01-08,334,336.700012,332.850006,335.125,316.19931,4942598
2013-01-09,336,336.274994,333.024994,333.75,314.902008,6435982
2013-01-10,334.75,339,333.25,337.899994,318.817627,4565184
2013-01-11,338.450012,338.450012,333.350006,334.649994,315.751129,5141714
2013-01-14,334.075012,335.25,333.549988,334.649994,315.751129,5694874
2013-01-15,335.399994,337.725006,332.5,334.149994,315.279388,4131688
2013-01-16,332.774994,334.600006,328.799988,330.25,311.599609,4575378
2013-01-17,328.850006,335.424988,327.024994,333.399994,314.571716,6422072
2013-01-18,335,337,327.649994,331.424988,312.708282,10112346
2013-01-21,330,331.700012,327.375,329.274994,310.679657,5427360
2013-01-22,329.25,330.5,323.774994,326.875,308.415253,4243064
2013-01-23,328.5,331.5,327.174988,328.299988,309.759705,3539870
2013-01-24,327.799988,331.375,327.625,330.149994,311.50528,3073980
2013-01-25,330.149994,333.5,327.774994,332.524994,313.746155,2794866
2013-01-28,332.625,336,332.225006,335.174988,316.24649,3684010
2013-01-29,335.375,335.450012,325,326.225006,307.801941,5980874
2013-01-30,326.5,329.200012,322,328.325012,309.783356,5019816
