Date,Open,High,Low,Close,Adj Close,Volume,Comp_Social,Neg_Social,Neu_Social,Pos_Social,Comp_News,Pos_News,Neu_News,Neg_News
24-10-2019,399,401.450012,393.350006,399.149994,392.040405,6433637,-0.5423,0.2,0.8,0,0.9992,0.095,0.894,0.011
24-09-2019,409.950012,417.5,403.950012,413.850006,406.478607,3112368,0.296,0,0.963,0.037,0.9992,0.094,0.895,0.011
06-09-2019,368,368.700012,363.799988,365.75,359.235321,2366109,0.5859,0.04,0.825,0.135,0.9992,0.094,0.895,0.011
26-08-2019,366,375,349.350006,368.200012,361.641724,4974219,0.6808,0,0.641,0.359,0.9992,0.093,0.896,0.011
28-06-2019,408.700012,413.350006,407,410.200012,402.681763,2148799,0.296,0,0.855,0.145,0.9993,0.095,0.893,0.012
27-06-2019,415.25,418.299988,404.700012,406.5,399.049561,8841636,-0.3818,0.077,0.923,0,0.9993,0.095,0.893,0.012
19-06-2019,423.5,424.850006,400.700012,407.700012,400.2276,5938743,0.6486,0,0.841,0.159,0.9993,0.095,0.893,0.012
03-06-2019,416.399994,426.350006,412.100006,424.75,416.965057,3852273,0,0,1,0,0.9993,0.094,0.894,0.012
28-05-2019,420,426.799988,408.700012,412.649994,405.086853,18296760,0.9517,0.033,0.792,0.175,0.9993,0.094,0.894,0.012
24-05-2019,408.450012,414.850006,399.5,410.25,402.730835,9272570,0.6369,0,0.741,0.259,0.9993,0.096,0.892,0.013
21-05-2019,409,411.399994,385.299988,387.600006,380.495972,9115899,0.9643,0.012,0.873,0.116,0.9994,0.097,0.89,0.012
20-05-2019,388.5,408.200012,376.049988,400.100006,392.766846,10973781,0.9509,0.02,0.782,0.197,0.9994,0.097,0.89,0.012
09-05-2019,369.899994,370.700012,361.100006,363.899994,357.230347,1315271,0.6486,0,0.71,0.29,0.9994,0.097,0.89,0.012
07-05-2019,381,383.950012,370.100006,371.899994,365.08374,1628805,0,0.137,0.747,0.116,0.9994,0.097,0.89,0.012
28-03-2019,368.850006,382.649994,366.299988,381.299988,374.311432,5909606,0.1027,0.128,0.722,0.15,0.9994,0.098,0.89,0.012
19-03-2019,370,372,362.5,365.75,359.046448,1933040,0.4404,0,0.791,0.209,0.9994,0.097,0.89,0.012
15-03-2019,366.25,368.950012,361.5,367.100006,360.371704,3057825,-0.3182,0.039,0.961,0,0.9994,0.097,0.89,0.012
01-03-2019,328.799988,334.799988,327,333.200012,327.093018,4756894,0,0,1,0,0.9994,0.098,0.89,0.012
26-02-2019,324,326.5,315.75,323.5,317.570831,14243781,0,0,1,0,0.9994,0.098,0.891,0.012
25-02-2019,329,339.549988,320.600006,324.549988,318.601563,21795407,0.4398,0.051,0.875,0.074,0.9994,0.098,0.891,0.012
06-02-2019,338.799988,341.799988,318.850006,330.350006,324.295288,6687853,0.5574,0.044,0.84,0.116,0.9994,0.098,0.891,0.012
29-01-2019,330,354.600006,327.600006,349.25,342.848877,9816333,0.9607,0.007,0.848,0.145,0.9994,0.098,0.891,0.012
28-01-2019,374.950012,375.350006,292.100006,326.100006,320.123169,15177384,0.8658,0.055,0.58,0.364,0.9994,0.098,0.891,0.012
28-12-2018,384.950012,390.75,384,387.399994,380.299622,3282766,0.4215,0.017,0.945,0.038,0.9994,0.098,0.89,0.012
27-12-2018,379.25,385.799988,373.649994,384,376.961975,5043675,0,0,1,0,0.9994,0.098,0.89,0.012
26-12-2018,360.200012,378.5,357.5,376.549988,369.648468,4519020,0.1154,0.116,0.779,0.105,0.9994,0.098,0.89,0.012
09-11-2018,328,338.850006,326.149994,337.600006,331.412354,3522988,0.5994,0.107,0.631,0.262,0.9995,0.098,0.891,0.011
24-10-2018,325,329.399994,307.399994,314.149994,308.392181,7675048,0.8151,0,0.878,0.122,0.9995,0.097,0.891,0.011
10-10-2018,318.700012,332.899994,316,327.100006,321.104828,2734052,0.5423,0.054,0.793,0.153,0.9995,0.097,0.891,0.011
12-09-2018,366.700012,377.450012,364.799988,376.049988,369.157654,3711887,0.6369,0,0.86,0.14,0.9995,0.097,0.891,0.011
